winner,fight_duration_lastrnd,fight_duration_lastrnd_time,date,location,dob_x,height_x,n_draw_x,n_loss_x,n_win_x,name_x,reach_x,sig_str_abs_pM_x,sig_str_def_pct_x,sig_str_land_pM_x,sig_str_land_pct_x,sub_avg_x,td_avg_x,td_def_pct_x,td_land_pct_x,weight_x,dob_y,height_y,n_draw_y,n_loss_y,n_win_y,name_y,reach_y,sig_str_abs_pM_y,sig_str_def_pct_y,sig_str_land_pM_y,sig_str_land_pct_y,sub_avg_y,td_avg_y,td_def_pct_y,td_land_pct_y,weight_y,win_percentage_x,win_percentage_y,reach_advantage,total_fights_x,total_fights_y,finishing_rate_x,finishing_rate_y,age_x,age_y,age_difference,decision_method_1,decision_method_2,decision_method_3,decision_method_4,decision_method_5,decision_method_6,decision_method_7,decision_method_8,stance_x_1,stance_x_2,stance_x_3,stance_y_1,stance_y_2,stance_y_3,time_format_1,time_format_2,time_format_3,weight_class_1,weight_class_2,weight_class_3,weight_class_4,weight_class_5,weight_class_6,weight_class_7,weight_class_8,weight_class_9,weight_class_10,weight_class_11,weight_class_12,weight_class_13,weight_class_14,weight_class_15,weight_class_16,weight_class_17,weight_class_18,weight_class_19,weight_class_20,weight_class_21,weight_class_22,weight_class_23,weight_class_24,weight_class_25,weight_class_26,weight_class_27,weight_class_28,weight_class_29,weight_class_30,weight_class_31,weight_class_32,weight_class_33,weight_class_34,weight_class_35,weight_class_36,weight_class_37,weight_class_38,weight_class_39,weight_class_40,weight_class_41,weight_class_42,weight_class_43,weight_class_44,weight_class_45,weight_class_46,weight_class_47,weight_class_48,weight_class_49,weight_class_50,weight_class_51,weight_class_52,weight_class_53,weight_class_54,weight_class_55,weight_class_56,weight_class_57,weight_class_58,weight_class_59,weight_class_60,weight_class_61
0,3,292,"July 13, 2019",116,762,76,0.0,3.0,10.0,707,82.0,3.38,0.45,4.31,0.52,0.0,0.0,0.38,0.0,7,345,75,0.0,5.0,13.0,559,75.0,4.39,0.51,3.59,0.48,1.9,2.54,0.57,0.66,7,0.7692307692307693,0.7222222222222222,7.0,13.0,18.0,0.3315384615384615,0.305,30,26,4,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,3,292,"July 13, 2019",116,774,73,0.0,2.0,9.0,541,74.0,1.8,0.64,3.16,0.52,0.8,1.07,0.53,0.57,6,502,72,0.0,3.0,16.0,1148,72.0,3.3,0.43,2.43,0.42,1.0,3.0,1.0,0.37,6,0.8181818181818182,0.8421052631578947,2.0,11.0,19.0,0.36,0.1805263157894737,28,22,6,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,257,"July 13, 2019",116,546,66,0.0,2.0,15.0,506,70.0,3.26,0.67,3.63,0.36,0.2,1.5,0.5,0.45,3,326,68,0.0,2.0,13.0,827,70.0,1.7,0.6,2.88,0.42,0.4,3.38,1.0,0.53,3,0.8823529411764706,0.8666666666666667,0.0,17.0,15.0,0.2252941176470588,0.2186666666666666,34,28,6,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,9,"July 13, 2019",116,56,69,0.0,3.0,9.0,354,71.0,1.91,0.67,2.99,0.46,0.1,0.0,0.8,0.0,2,619,66,0.0,1.0,9.0,104,66.0,4.84,0.46,5.22,0.55,1.2,2.45,0.66,0.75,2,0.75,0.9,5.0,12.0,10.0,0.2575,0.642,35,24,11,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,3,292,"July 06, 2019",68,127,70,0.0,3.0,19.0,396,74.0,0.69,0.8,3.4,0.56,0.3,1.67,0.76,0.83,5,272,74,0.0,4.0,14.0,189,75.0,3.62,0.49,1.1,0.2,0.3,1.35,0.16,0.26,5,0.8636363636363636,0.7777777777777778,-1.0,22.0,18.0,0.1681818181818181,0.0777777777777777,22,32,-10,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,1,65,"July 06, 2019",68,747,74,0.0,0.0,11.0,300,74.0,2.16,0.62,4.11,0.52,0.8,6.77,0.75,0.4,6,247,72,0.0,9.0,23.0,474,73.0,3.54,0.57,2.64,0.28,0.0,0.0,0.2,0.0,6,1.0,0.71875,1.0,11.0,32.0,0.4463636363636363,0.0825,21,29,-8,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,1,117,"July 06, 2019",68,850,66,1.0,8.0,22.0,23,67.0,2.94,0.64,3.52,0.35,0.1,0.52,0.73,0.2,2,197,68,1.0,4.0,15.0,1038,67.0,2.74,0.62,3.54,0.38,0.7,0.97,0.66,1.0,2,0.7096774193548387,0.75,0.0,31.0,20.0,0.1167741935483871,0.212,29,21,8,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,3,292,"July 06, 2019",68,181,64,0.0,4.0,17.0,186,63.0,4.38,0.58,3.17,0.42,0.8,3.34,0.58,0.47,0,123,64,1.0,8.0,10.0,913,63.0,3.11,0.61,3.01,0.41,0.3,1.38,0.57,0.27,0,0.8095238095238095,0.5263157894736842,0.0,21.0,19.0,0.189047619047619,0.1742105263157894,30,33,-3,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,2,198,"July 06, 2019",68,167,68,1.0,5.0,15.0,656,70.0,3.82,0.53,3.43,0.47,1.4,0.76,0.68,0.38,2,618,70,0.0,4.0,10.0,867,71.0,2.63,0.52,1.32,0.34,0.0,0.71,0.37,0.5,2,0.7142857142857143,0.7142857142857143,-1.0,21.0,14.0,0.23,0.0942857142857142,26,25,1,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,3,292,"July 06, 2019",68,22,69,0.0,8.0,22.0,357,73.0,2.53,0.63,3.44,0.33,0.2,1.64,0.71,0.41,3,412,68,0.0,1.0,15.0,98,70.0,1.78,0.66,3.01,0.39,0.5,1.6,0.7,0.56,3,0.7333333333333333,0.9375,3.0,30.0,16.0,0.1213333333333333,0.219375,37,25,12,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
