winner,fight_duration_lastrnd,fight_duration_lastrnd_time,date,location,dob_x,height_x,n_draw_x,n_loss_x,n_win_x,name_x,reach_x,sig_str_abs_pM_x,sig_str_def_pct_x,sig_str_land_pM_x,sig_str_land_pct_x,stance_x,sub_avg_x,td_avg_x,td_def_pct_x,td_land_pct_x,weight_x,dob_y,height_y,n_draw_y,n_loss_y,n_win_y,name_y,reach_y,sig_str_abs_pM_y,sig_str_def_pct_y,sig_str_land_pM_y,sig_str_land_pct_y,stance_y,sub_avg_y,td_avg_y,td_def_pct_y,td_land_pct_y,weight_y,win_percentage_x,win_percentage_y,reach_advantage,total_fights_x,total_fights_y,finishing_rate_x,finishing_rate_y,age_x,age_y,age_difference,decision_method_DQ,decision_method_Decision - Majority,decision_method_Decision - Split,decision_method_Decision - Unanimous,decision_method_KO/TKO,decision_method_Overturned,decision_method_Submission,decision_method_TKO - Doctor's Stoppage,time_format_3 Rnd (5-5-5),time_format_3 Rnd + OT (5-5-5-5),time_format_5 Rnd (5-5-5-5-5),weight_class_Catch Weight Bout,weight_class_Featherweight Bout,weight_class_Flyweight Bout,weight_class_Heavyweight Bout,weight_class_Light Heavyweight Bout,weight_class_Lightweight Bout,weight_class_Middleweight Bout,weight_class_TUF Nations Canada vs. Australia Middleweight Tournament Title Bout,weight_class_TUF Nations Canada vs. Australia Welterweight Tournament Title Bout,weight_class_UFC Bantamweight Title Bout,weight_class_UFC Featherweight Title Bout,weight_class_UFC Flyweight Title Bout,weight_class_UFC Heavyweight Title Bout,weight_class_UFC Interim Bantamweight Title Bout,weight_class_UFC Interim Featherweight Title Bout,weight_class_UFC Interim Heavyweight Title Bout,weight_class_UFC Interim Light Heavyweight Title Bout,weight_class_UFC Interim Lightweight Title Bout,weight_class_UFC Interim Middleweight Title Bout,weight_class_UFC Interim Welterweight Title Bout,weight_class_UFC Light Heavyweight Title Bout,weight_class_UFC Lightweight Title Bout,weight_class_UFC Middleweight Title Bout,weight_class_UFC Welterweight Title Bout,weight_class_UFC Women's Bantamweight Title Bout,weight_class_UFC Women's Featherweight Title Bout,weight_class_UFC Women's Flyweight Title Bout,weight_class_UFC Women's Strawweight Title Bout,weight_class_Ultimate Fighter 1 Light Heavyweight Tournament Title Bout,weight_class_Ultimate Fighter 1 Middleweight Tournament Title Bout,weight_class_Ultimate Fighter 10 Heavyweight Tournament Title Bout,weight_class_Ultimate Fighter 12 Lightweight Tournament Title Bout,weight_class_Ultimate Fighter 13 Welterweight Tournament Title Bout,weight_class_Ultimate Fighter 14 Bantamweight Tournament Title Bout,weight_class_Ultimate Fighter 14 Featherweight Tournament Title Bout,weight_class_Ultimate Fighter 15 Lightweight Tournament Title Bout,weight_class_Ultimate Fighter 16 Welterweight Tournament Title Bout,weight_class_Ultimate Fighter 17 Middleweight Tournament Title Bout,weight_class_Ultimate Fighter 19 Middleweight Tournament Title Bout,weight_class_Ultimate Fighter 23 Light Heavyweight Tournament Title Bout,weight_class_Ultimate Fighter 25 Welterweight Tournament Title Bout,weight_class_Ultimate Fighter 27 Featherweight Tournament Title Bout,weight_class_Ultimate Fighter 27 Lightweight Tournament Title Bout,weight_class_Ultimate Fighter 5 Lightweight Tournament Title Bout,weight_class_Ultimate Fighter 7 Middleweight Tournament Title Bout,weight_class_Ultimate Fighter 8 Light Heavyweight Tournament Title Bout,weight_class_Ultimate Fighter 8 Lightweight Tournament Title Bout,weight_class_Ultimate Fighter Brazil 1 Featherweight Tournament Title Bout,weight_class_Ultimate Fighter Brazil 1 Middleweight Tournament Title Bout,weight_class_Ultimate Fighter Brazil 2 Welterweight Tournament Title Bout,weight_class_Ultimate Fighter Brazil 3 Heavyweight Tournament Title Bout,weight_class_Ultimate Fighter Brazil 3 Middleweight Tournament Title Bout,weight_class_Ultimate Fighter China Featherweight Tournament Title Bout,weight_class_Ultimate Fighter China Welterweight Tournament Title Bout,weight_class_Ultimate Fighter Latin America 3 Lightweight Tournament Title Bout,weight_class_Ultimate Fighter Latin America Featherweight Tournament Title Bout,weight_class_Welterweight Bout,weight_class_Women's Bantamweight Bout,weight_class_Women's Featherweight Bout,weight_class_Women's Flyweight Bout,weight_class_Women's Strawweight Bout
0,3,5:00,"November 17, 2018","Buenos Aires, Buenos Aires, Argentina","Feb 15, 1985","6' 1""",0.0,8.0,14.0,Cezar Ferreira,78.0,2.44,0.53,1.9,0.42,Southpaw,0.5,2.69,0.84,0.53,185 lbs.,"Aug 05, 1988","5' 11""",0.0,2.0,13.0,Ian Heinisch,72.0,2.61,0.55,3.33,0.5,Orthodox,0.6,0.62,0.63,0.12,185 lbs.,0.6363636363636364,0.8666666666666667,6.0,22.0,15.0,0.109090909090909,0.262,34,31,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4:48,"November 17, 2018","Buenos Aires, Buenos Aires, Argentina","Jul 13, 1987","5' 4""",1.0,1.0,8.0,Cynthia Calvillo,64.0,3.54,0.63,4.12,0.43,Orthodox,1.6,1.83,0.69,0.43,115 lbs.,"Dec 15, 1988","5' 8""",0.0,2.0,8.0,Poliana Botelho,67.0,2.77,0.55,3.65,0.58,Orthodox,0.0,1.27,0.88,1.0,115 lbs.,0.8,0.8,-3.0,10.0,10.0,0.5720000000000001,0.365,32,30,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4,2:36,"November 17, 2018","Buenos Aires, Buenos Aires, Argentina","Aug 03, 1987","6' 3""",0.0,8.0,21.0,Neil Magny,80.0,2.22,0.56,3.86,0.46,Orthodox,0.3,2.62,0.6,0.46,170 lbs.,"Sep 26, 1986","6' 0""",0.0,3.0,28.0,Santiago Ponzinibbio,73.0,4.02,0.64,4.27,0.39,Orthodox,0.0,0.54,0.6,0.44,170 lbs.,0.7241379310344828,0.9032258064516128,7.0,29.0,31.0,0.1434482758620689,0.1377419354838709,32,33,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2,1:31,"November 17, 2018","Buenos Aires, Buenos Aires, Argentina","Dec 19, 1979","5' 6""",0.0,5.0,8.0,Guido Cannetti,68.0,1.95,0.51,2.8,0.52,Southpaw,0.3,2.8,0.75,0.5,135 lbs.,"Dec 02, 1992","5' 8""",1.0,5.0,15.0,Marlon Vera,70.0,3.82,0.53,3.43,0.47,Switch,1.4,0.76,0.68,0.38,135 lbs.,0.6153846153846154,0.7142857142857143,-2.0,13.0,21.0,0.2384615384615384,0.23,39,26,13,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1:57,"November 17, 2018","Buenos Aires, Buenos Aires, Argentina","Feb 26, 1990","6' 1""",0.0,4.0,9.0,Khalil Rountree Jr.,76.0,2.85,0.47,3.01,0.4,Southpaw,0.2,0.0,0.46,0.0,205 lbs.,"Mar 30, 1992","6' 6""",0.0,4.0,17.0,Johnny Walker,82.0,4.02,0.33,5.17,0.69,Orthodox,2.3,0.75,0.8,1.0,205 lbs.,0.6923076923076923,0.8095238095238095,-6.0,13.0,21.0,0.2469230769230769,0.3557142857142857,29,27,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1:19,"October 06, 2018","Las Vegas, Nevada, USA","May 09, 1979","5' 9""",1.0,8.0,14.0,Gray Maynard,70.0,2.64,0.66,1.92,0.32,Orthodox,0.7,2.91,0.81,0.47,155 lbs.,"Aug 13, 1984","5' 8""",2.0,10.0,30.0,Nik Lentz,68.0,3.09,0.49,3.47,0.5,Orthodox,1.3,3.59,0.44,0.34,155 lbs.,0.6086956521739131,0.7142857142857143,2.0,23.0,42.0,0.1139130434782608,0.1135714285714285,40,35,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,5:00,"October 06, 2018","Las Vegas, Nevada, USA","Mar 13, 1982","5' 7""",0.0,4.0,10.0,Lina Lansberg,65.0,3.9,0.45,3.21,0.57,Orthodox,0.2,0.83,0.52,0.33,135 lbs.,"Nov 11, 1989","5' 6""",0.0,5.0,12.0,Yana Kunitskaya,68.0,4.12,0.49,5.05,0.52,Orthodox,0.3,2.39,0.2,0.53,135 lbs.,0.7142857142857143,0.7058823529411765,-3.0,14.0,17.0,0.2435714285714285,0.3147058823529411,37,30,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,3,4:09,"November 17, 2018","Buenos Aires, Buenos Aires, Argentina","May 21, 1982","5' 8""",0.0,8.0,19.0,Ricardo Lamas,71.0,2.66,0.59,2.88,0.45,Orthodox,1.0,1.63,0.47,0.32,145 lbs.,"May 16, 1984","5' 10""",0.0,8.0,25.0,Darren Elkins,71.0,2.8,0.53,3.27,0.36,Orthodox,1.3,2.52,0.58,0.35,145 lbs.,0.7037037037037037,0.7575757575757576,0.0,27.0,33.0,0.1437037037037037,0.1384848484848485,37,35,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3:42,"October 06, 2018","Las Vegas, Nevada, USA","Sep 30, 1983","5' 9""",0.0,3.0,13.0,Scott Holtzman,69.0,3.27,0.55,4.36,0.5,Orthodox,0.2,2.37,0.64,0.58,155 lbs.,"Jul 19, 1983","5' 11""",0.0,2.0,15.0,Alan Patrick,74.0,2.39,0.45,1.88,0.43,Southpaw,0.4,3.92,0.66,0.4,155 lbs.,0.8125,0.8823529411764706,-5.0,16.0,17.0,0.285,0.1341176470588235,36,36,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3:26,"October 06, 2018","Las Vegas, Nevada, USA","Mar 01, 1995","5' 6""",0.0,1.0,9.0,Aspen Ladd,66.0,4.84,0.46,5.22,0.55,Orthodox,1.2,2.45,0.66,0.75,135 lbs.,"Jun 04, 1981","5' 7""",0.0,8.0,19.0,Tonya Evinger,70.0,4.02,0.38,1.16,0.42,Orthodox,0.9,0.93,0.33,0.3,135 lbs.,0.9,0.7037037037037037,-4.0,10.0,27.0,0.642,0.0762962962962962,24,38,-14,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,3,5:00,"October 06, 2018","Las Vegas, Nevada, USA","Jan 06, 1986","5' 3""",0.0,7.0,17.0,Michelle Waterson,62.0,3.88,0.48,3.35,0.53,Orthodox,1.2,1.88,0.57,0.5,115 lbs.,"Sep 18, 1984","5' 4""",0.0,8.0,14.0,Felice Herrig,65.0,4.89,0.5,3.69,0.36,Orthodox,0.9,1.2,0.76,0.3,115 lbs.,0.7083333333333334,0.6363636363636364,-3.0,24.0,22.0,0.1895833333333333,0.2086363636363636,33,35,-2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,4:49,"October 06, 2018","Las Vegas, Nevada, USA","Feb 07, 1985","6' 3""",0.0,7.0,22.0,Derrick Lewis,79.0,2.29,0.44,2.63,0.49,Orthodox,0.0,0.52,0.53,0.25,260 lbs.,"Oct 24, 1988","6' 7""",0.0,7.0,31.0,Alexander Volkov,80.0,2.48,0.58,5.36,0.6,Orthodox,0.2,0.75,0.76,0.75,250 lbs.,0.7586206896551724,0.8157894736842105,-1.0,29.0,38.0,0.0906896551724137,0.1463157894736842,34,31,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
