winner,decision_method,fight_duration_lastrnd,fight_duration_lastrnd_time,time_format,weight_class,date,location,dob_x,height_x,n_draw_x,n_loss_x,n_win_x,name_x,reach_x,sig_str_abs_pM_x,sig_str_def_pct_x,sig_str_land_pM_x,sig_str_land_pct_x,stance_x,sub_avg_x,td_avg_x,td_def_pct_x,td_land_pct_x,weight_x,dob_y,height_y,n_draw_y,n_loss_y,n_win_y,name_y,reach_y,sig_str_abs_pM_y,sig_str_def_pct_y,sig_str_land_pM_y,sig_str_land_pct_y,stance_y,sub_avg_y,td_avg_y,td_def_pct_y,td_land_pct_y,weight_y,win_percentage_x,win_percentage_y,reach_advantage,total_fights_x,total_fights_y,finishing_rate_x,finishing_rate_y,age_x,age_y,age_difference
1,KO/TKO,1,2:11,3 Rnd (5-5-5),Heavyweight Bout,"February 25, 2012","Saitama, Japan","Mar 23, 1974","5' 10""",1.0,14.0,13.0,Mark Hunt,72.0,2.9,0.51,2.81,0.43,Orthodox,0.2,0.51,0.64,0.55,265 lbs.,"May 17, 1975","6' 4""",2.0,9.0,29.0,Cheick Kongo,82.0,1.28,0.54,3.33,0.56,Orthodox,0.2,2.3,0.52,0.56,240 lbs.,0.4642857142857143,0.725,-10.0,28.0,40.0,0.10750000000000001,0.08825000000000001,45,44,1
1,KO/TKO,2,3:52,3 Rnd (5-5-5),Heavyweight Bout,"February 15, 2012","Omaha, Nebraska, USA","Feb 18, 1988","6' 11""",0.0,12.0,33.0,Stefan Struve,84.0,4.0,0.46,3.13,0.47,Orthodox,1.7,0.58,0.55,0.5,265 lbs.,"Oct 03, 1984","6' 4""",0.0,6.0,21.0,Dave Herman,76.0,3.78,0.48,4.98,0.6,Orthodox,0.0,1.49,0.58,1.0,242 lbs.,0.7333333333333333,0.7777777777777778,8.0,45.0,27.0,0.10733333333333334,0.18444444444444447,31,35,-4
0,Decision - Split,3,5:00,3 Rnd (5-5-5),Middleweight Bout,"February 15, 2012","Omaha, Nebraska, USA","Jul 20, 1974","6' 0""",0.0,4.0,11.0,Aaron Simpson,73.0,2.53,0.56,3.6,0.52,Orthodox,0.5,3.78,0.83,0.34,170 lbs.,"Apr 21, 1988","6' 1""",0.0,3.0,14.0,Ronny Markes,75.0,2.43,0.45,2.17,0.53,Orthodox,0.5,3.13,1.0,0.4,185 lbs.,0.7333333333333333,0.8235294117647058,-2.0,15.0,17.0,0.2733333333333333,0.15705882352941175,45,31,14
1,KO/TKO,1,0:43,3 Rnd (5-5-5),Heavyweight Bout,"February 15, 2012","Omaha, Nebraska, USA","Aug 19, 1982","6' 4""",0.0,3.0,19.0,Stipe Miocic,80.0,3.69,0.56,4.95,0.52,Orthodox,0.0,2.2,0.73,0.37,240 lbs.,"Apr 21, 1986","6' 5""",0.0,3.0,9.0,Philip De Fries,82.0,3.0,0.37,2.3,0.47,Orthodox,0.6,3.29,1.0,0.42,250 lbs.,0.8636363636363636,0.75,-2.0,22.0,12.0,0.225,0.24166666666666667,37,33,4
0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Welterweight Bout,"February 15, 2012","Omaha, Nebraska, USA","Dec 31, 1981","5' 10""",0.0,12.0,31.0,Diego Sanchez,72.0,2.91,0.57,2.75,0.38,Southpaw,0.9,1.62,0.47,0.25,170 lbs.,"Mar 28, 1985","5' 9""",0.0,15.0,31.0,Jake Ellenberger,71.0,2.83,0.6,2.47,0.39,Orthodox,0.4,2.04,0.86,0.47,170 lbs.,0.7209302325581395,0.6739130434782609,1.0,43.0,46.0,0.08488372093023255,0.06239130434782609,37,34,3
0,Decision - Split,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"February 04, 2012","Las Vegas, Nevada, USA","Jun 20, 1988","5' 10""",0.0,12.0,15.0,Alex Caceres,73.0,2.86,0.64,3.98,0.48,Southpaw,0.8,0.53,0.58,0.75,145 lbs.,"Jul 31, 1984","5' 7""",0.0,4.0,9.0,Edwin Figueroa,69.0,3.06,0.51,2.57,0.39,Orthodox,0.6,0.2,0.37,1.0,135 lbs.,0.5555555555555556,0.6923076923076923,4.0,27.0,13.0,0.17703703703703705,0.24384615384615385,31,35,-4
1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Middleweight Bout,"February 04, 2012","Las Vegas, Nevada, USA","Dec 25, 1982","6' 0""",1.0,9.0,21.0,Rafael Natal,76.0,2.48,0.57,3.1,0.47,Orthodox,0.5,2.55,0.77,0.34,185 lbs.,"Jun 07, 1989","6' 0""",0.0,3.0,12.0,Michael Kuiper,73.0,3.62,0.54,3.28,0.54,Orthodox,0.0,2.3,0.79,0.55,185 lbs.,0.6774193548387096,0.8,3.0,31.0,15.0,0.11612903225806452,0.21866666666666665,36,30,6
1,Decision - Split,3,5:00,3 Rnd (5-5-5),Welterweight Bout,"February 04, 2012","Las Vegas, Nevada, USA","Jan 14, 1986","6' 1""",0.0,3.0,7.0,Matthew Riddle,74.0,2.74,0.54,3.01,0.42,Southpaw,0.5,3.51,0.89,0.5,170 lbs.,"Aug 07, 1983","5' 7""",0.0,3.0,9.0,Henry Martinez,68.0,4.01,0.6,2.79,0.25,Southpaw,0.0,0.0,0.8,0.0,155 lbs.,0.7,0.75,6.0,10.0,12.0,0.351,0.2325,33,36,-3
1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"February 04, 2012","Las Vegas, Nevada, USA","Jan 31, 1987","5' 6""",0.0,9.0,36.0,Renan Barao,70.0,3.9,0.57,3.78,0.36,Orthodox,0.5,1.49,0.91,0.41,145 lbs.,"Sep 17, 1982","5' 5""",0.0,12.0,15.0,Scott Jorgensen,66.0,3.41,0.65,3.37,0.4,Orthodox,0.7,2.61,0.59,0.45,135 lbs.,0.8,0.5555555555555556,4.0,45.0,27.0,0.09511111111111109,0.15074074074074076,32,37,-5
1,Submission,1,3:23,3 Rnd (5-5-5),Featherweight Bout,"February 04, 2012","Las Vegas, Nevada, USA","Jan 19, 1989","5' 9""",0.0,6.0,25.0,Dustin Poirier,72.0,3.97,0.56,5.51,0.49,Southpaw,1.2,1.55,0.61,0.37,155 lbs.,"Dec 04, 1991","5' 11""",0.0,4.0,21.0,Max Holloway,69.0,4.29,0.63,6.78,0.45,Orthodox,0.4,0.26,0.84,0.83,145 lbs.,0.8064516129032258,0.84,3.0,31.0,25.0,0.21645161290322582,0.2872,30,27,3
1,Submission,2,1:43,3 Rnd (5-5-5),Middleweight Bout,"February 04, 2012","Las Vegas, Nevada, USA","Oct 02, 1980","6' 1""",0.0,14.0,26.0,Ed Herman,77.0,3.13,0.44,3.33,0.49,Orthodox,1.2,2.2,0.59,0.48,205 lbs.,"Apr 25, 1981","6' 0""",0.0,2.0,8.0,Clifford Starks,77.0,2.49,0.58,1.94,0.33,Orthodox,0.0,1.94,0.6,1.0,185 lbs.,0.65,0.8,0.0,40.0,10.0,0.11325,0.194,39,38,1
0,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),UFC Interim Welterweight Title Bout,"February 04, 2012","Las Vegas, Nevada, USA","Aug 02, 1983","6' 1""",0.0,9.0,26.0,Nick Diaz,76.0,3.56,0.61,5.43,0.42,Southpaw,1.0,1.32,0.6,0.33,185 lbs.,"Apr 26, 1984","6' 2""",0.0,13.0,30.0,Carlos Condit,75.0,2.34,0.57,3.56,0.39,Orthodox,1.2,0.58,0.36,0.55,170 lbs.,0.7428571428571429,0.6976744186046512,1.0,35.0,43.0,0.18371428571428572,0.11069767441860465,36,35,1
1,Decision - Split,3,5:00,3 Rnd (5-5-5),Welterweight Bout,"February 04, 2012","Las Vegas, Nevada, USA","Nov 30, 1977","5' 10""",0.0,10.0,19.0,Josh Koscheck,73.0,2.27,0.63,1.79,0.36,Orthodox,0.4,2.46,0.64,0.48,170 lbs.,"Sep 01, 1980","5' 8""",0.0,7.0,17.0,Mike Pierce,70.0,2.36,0.62,2.62,0.42,Orthodox,0.2,3.08,0.71,0.42,170 lbs.,0.6551724137931034,0.7083333333333334,3.0,29.0,24.0,0.07551724137931035,0.11750000000000001,41,39,2
