fight_id,fighter_1,fighter_1_id,fighter_2,fighter_2_id,winner,decision_method,fight_duration_lastrnd,fight_duration_lastrnd_time,time_format,weight_class,date,location,dob_x,height_x,n_draw_x,n_loss_x,n_win_x,name_x,reach_x,sig_str_abs_pM_x,sig_str_def_pct_x,sig_str_land_pM_x,sig_str_land_pct_x,stance_x,sub_avg_x,td_avg_x,td_def_pct_x,td_land_pct_x,weight_x,dob_y,height_y,n_draw_y,n_loss_y,n_win_y,name_y,reach_y,sig_str_abs_pM_y,sig_str_def_pct_y,sig_str_land_pM_y,sig_str_land_pct_y,stance_y,sub_avg_y,td_avg_y,td_def_pct_y,td_land_pct_y,weight_y
a7ff11c5dfe65e86,Tiago Trator,8ce87f7e3a9baed2,Mike de la Torre,1971869b7e054261,Mike de la Torre,KO/TKO,1,2:59,3 Rnd (5-5-5),Featherweight Bout,"February 22, 2015","Porto Alegre, Rio Grande do Sul, Brazil","Apr 12, 1987","5' 9""",2.0,6.0,20.0,Tiago Trator,"70""",4.23,0.59,3.69,0.35,Orthodox,0.3,0.63,0.33,0.11,145 lbs.,"Sep 22, 1986","5' 11""",0.0,7.0,14.0,Mike de la Torre,"71""",4.75,0.51,3.21,0.39,Orthodox,0.0,0.36,0.83,0.16,145 lbs.
82e713f037e37fe9,Santiago Ponzinibbio,6d1bffff14897645,Sean Strickland,0d8011111be000b2,Santiago Ponzinibbio,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Welterweight Bout,"February 22, 2015","Porto Alegre, Rio Grande do Sul, Brazil","Sep 26, 1986","6' 0""",0.0,3.0,28.0,Santiago Ponzinibbio,"73""",4.02,0.64,4.27,0.39,Orthodox,0.0,0.54,0.6,0.44,170 lbs.,"Feb 27, 1991","6' 1""",0.0,3.0,20.0,Sean Strickland,"76""",3.62,0.64,4.34,0.35,Orthodox,0.5,1.37,0.81,0.57,170 lbs.
1574bb7476c9e556,Cezar Ferreira,dbc17725b887860a,Sam Alvey,d156513a19acf856,Sam Alvey,KO/TKO,1,3:34,3 Rnd (5-5-5),Middleweight Bout,"February 22, 2015","Porto Alegre, Rio Grande do Sul, Brazil","Feb 15, 1985","6' 1""",0.0,8.0,14.0,Cezar Ferreira,"78""",2.44,0.53,1.9,0.42,Southpaw,0.5,2.69,0.84,0.53,185 lbs.,"May 06, 1986","6' 2""",0.0,13.0,33.0,Sam Alvey,"75""",3.2,0.55,3.05,0.44,Southpaw,0.1,0.09,0.82,0.16,205 lbs.
c7cbf6b47051fa7d,Iuri Alcantara,2f95a3c6d58b2aad,Frankie Saenz,9ba2226646046b63,Frankie Saenz,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"February 22, 2015","Porto Alegre, Rio Grande do Sul, Brazil","Aug 04, 1980","5' 9""",0.0,10.0,35.0,Iuri Alcantara,"71""",2.79,0.49,2.72,0.45,Southpaw,0.8,1.44,0.6,0.62,135 lbs.,"Aug 12, 1980","5' 6""",0.0,6.0,13.0,Frankie Saenz,"66""",3.15,0.54,3.97,0.46,Orthodox,0.1,1.77,0.62,0.32,135 lbs.
76726a66840ccfa4,Jessica Andrade,6a1901c62ab3870f,Marion Reneau,c7d297714d9ab1a4,Marion Reneau,Submission,1,1:54,3 Rnd (5-5-5),Women's Bantamweight Bout,"February 22, 2015","Porto Alegre, Rio Grande do Sul, Brazil","Sep 25, 1991","5' 1""",0.0,7.0,20.0,Jessica Andrade,"62""",5.28,0.51,6.55,0.51,Orthodox,0.5,3.21,0.76,0.58,115 lbs.,"Jun 20, 1977","5' 6""",1.0,5.0,9.0,Marion Reneau,"68""",2.93,0.65,3.46,0.41,Orthodox,1.1,0.35,0.51,1.0,135 lbs.
4228886e94a25a63,Rustam Khabilov,9b7694d064a8a0ad,Adriano Martins,7dcf06c1967801c1,Adriano Martins,Decision - Split,3,5:00,3 Rnd (5-5-5),Lightweight Bout,"February 22, 2015","Porto Alegre, Rio Grande do Sul, Brazil","Nov 04, 1986","5' 8""",0.0,4.0,24.0,Rustam Khabilov,"73""",2.16,0.65,1.98,0.34,Orthodox,0.1,3.95,0.61,0.41,155 lbs.,"Dec 16, 1982","5' 10""",0.0,9.0,28.0,Adriano Martins,"72""",2.14,0.65,1.8,0.38,Southpaw,0.4,0.83,0.81,0.8,155 lbs.
d785f22c4cc99a3d,Edson Barboza,64a50dad704d1d49,Michael Johnson,511e82663651438d,Michael Johnson,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lightweight Bout,"February 22, 2015","Porto Alegre, Rio Grande do Sul, Brazil","Jan 21, 1986","5' 11""",0.0,8.0,20.0,Edson Barboza,"75""",4.16,0.6,4.01,0.43,Orthodox,0.1,0.49,0.8,0.44,155 lbs.,"Jun 04, 1986","5' 10""",0.0,15.0,20.0,Michael Johnson,"73""",3.92,0.58,4.22,0.37,Southpaw,0.1,0.52,0.78,0.45,155 lbs.
5b0ebb843af7465e,Richardson Moreira,9147679e1a4ad4a3,Ildemar Alcantara,7c6e87729e824ef4,Ildemar Alcantara,Decision - Split,3,5:00,3 Rnd (5-5-5),Middleweight Bout,"January 31, 2015","Las Vegas, Nevada, USA","Mar 31, 1984","6' 2""",0.0,4.0,7.0,Richardson Moreira,"72""",1.83,0.67,1.17,0.28,Orthodox,0.0,0.0,1.0,0.0,185 lbs.,"Nov 18, 1982","6' 2""",0.0,8.0,21.0,Ildemar Alcantara,"78""",2.63,0.5,1.93,0.38,Orthodox,0.9,2.0,0.81,0.68,185 lbs.
c699c0e56664ff11,Ian McCall,701e057d63c124d9,John Lineker,c268b2cfebccf652,John Lineker,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Flyweight Bout,"January 31, 2015","Las Vegas, Nevada, USA","May 07, 1984","5' 5""",1.0,5.0,13.0,Ian McCall,"64""",3.25,0.67,3.59,0.39,Orthodox,0.0,2.08,0.88,0.3,125 lbs.,"Jun 12, 1990","5' 3""",0.0,9.0,31.0,John Lineker,"67""",4.27,0.56,5.36,0.4,Orthodox,0.6,0.56,0.67,0.58,135 lbs.
223f9a750428e1d0,Antonio Silva,8349d55cdecd393a,Frank Mir,1ff9589f9065a9ed,Frank Mir,KO/TKO,1,1:40,5 Rnd (5-5-5-5-5),Heavyweight Bout,"February 22, 2015","Porto Alegre, Rio Grande do Sul, Brazil","Sep 14, 1979","6' 4""",1.0,10.0,19.0,Antonio Silva,"80""",3.09,0.5,2.89,0.45,Orthodox,0.8,0.82,0.66,0.29,264 lbs.,"May 24, 1979","6' 3""",0.0,11.0,18.0,Frank Mir,"79""",3.84,0.38,2.18,0.47,Southpaw,2.0,2.02,0.54,0.4,264 lbs.
