name,wins,losses,draws,height,weight,reach,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,last_update,last_match,total_fights,age,win_percentage
Jeff Hougland,10,6,0.0,"5'7""",135lbs.,"68""",Orthodox,"Aug02,1978",1.86,48%,3.46,47%,0.86,18%,0%,1.1,06-15-2023,11-10-2012,16.0,46.0,0.625
Steve Garcia,14,5,0.0,"6'0""",145lbs.,"75""",Southpaw,"May22,1992",4.85,56%,2.61,46%,1.51,44%,94%,0.4,06-15-2023,04-08-2023,19.0,32.0,0.7368421052631579
Tony Juarez,1,12,0.0,--,155lbs.,--,,--,0.89,25%,10.34,38%,4.43,100%,66%,0.0,06-15-2023,03-10-2006,13.0,,0.07692307692307693
Dave Strasser,25,8,0.0,"5'10""",170lbs.,--,Orthodox,"Jul13,1969",3.04,45%,1.88,59%,0.72,33%,33%,0.0,06-15-2023,01-29-2005,33.0,55.0,0.7575757575757576
Julie Kedzie,16,13,0.0,"5'5""",135lbs.,--,Orthodox,"Mar18,1981",2.9,36%,3.18,46%,1.14,23%,78%,0.0,06-15-2023,12-06-2013,29.0,43.0,0.5517241379310345
Cynthia Calvillo,9,6,1.0,"5'4""",125lbs.,"64""",Orthodox,"Jul13,1987",4.41,38%,4.12,64%,1.8,44%,77%,0.8,06-15-2023,04-08-2023,16.0,37.0,0.5625
Josh San Diego,8,3,0.0,"5'10""",135lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,,11.0,,0.7272727272727273
Josh Epps,6,7,0.0,--,130lbs.,--,,"Aug23,1986",0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,12-04-2010,13.0,38.0,0.46153846153846156
James Bochnovic,8,3,0.0,"6'4""",205lbs.,"81""",Orthodox,"Feb13,1989",0.65,26%,3.64,21%,0.0,0%,0%,0.0,06-15-2023,05-12-2018,11.0,35.0,0.7272727272727273
Chad Hanekom,9,2,0.0,--,185lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,,11.0,,0.8181818181818182
Justin DeMoney,15,7,1.0,--,170lbs.,--,,"Jul01,1985",0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,05-15-2010,23.0,39.0,0.6521739130434783
Jeff Crotty,1,1,0.0,--,155lbs.,--,,--,0.93,35%,3.33,54%,5.0,38%,0%,1.0,06-15-2023,,2.0,,0.5
Ivan Cole,2,3,0.0,"5'9""",135lbs.,--,,"Nov30,1990",2.68,36%,4.69,46%,0.0,0%,0%,0.0,06-15-2023,,5.0,34.0,0.4
John Adajar,6,2,0.0,"5'9""",170lbs.,"75""",Orthodox,"Jun22,1991",3.9,52%,6.28,44%,0.0,0%,0%,0.0,06-15-2023,06-10-2022,8.0,33.0,0.75
Thomas Longacre,6,1,0.0,"5'9""",145lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,09-25-2009,7.0,,0.8571428571428571
Patricio Freire,26,4,0.0,"5'5""",145lbs.,"65""",,"Jul07,1987",2.84,41%,4.43,60%,0.6,18%,94%,0.6,06-15-2023,,30.0,37.0,0.8666666666666667
Dong Hyun Ma,16,11,3.0,"5'11""",155lbs.,"70""",Orthodox,"Sep09,1988",2.84,41%,4.1,54%,1.27,53%,33%,0.0,06-15-2023,12-21-2019,30.0,36.0,0.5333333333333333
Kyoji Horiguchi,19,2,0.0,"5'5""",125lbs.,"66""",Orthodox,"Oct12,1990",3.6,45%,2.45,62%,2.0,44%,55%,0.0,06-15-2023,11-19-2016,21.0,34.0,0.9047619047619048
Dave Rickels,18,4,0.0,"5'11""",155lbs.,--,,"Jan05,1989",4.29,59%,5.53,42%,0.0,0%,25%,0.0,06-15-2023,,22.0,35.0,0.8181818181818182
Matt Hamill,12,8,0.0,"6'1""",205lbs.,"76""",Orthodox,"Oct05,1976",3.69,42%,3.8,61%,3.0,34%,91%,0.0,06-15-2023,10-09-2013,20.0,48.0,0.6
Aleksei Oleinik,60,17,1.0,"6'2""",240lbs.,"80""",Orthodox,"Jun20,1977",3.29,48%,3.8,44%,1.82,46%,37%,1.9,06-15-2023,10-01-2022,78.0,47.0,0.7692307692307693
Cheyden Leialoha,6,0,0.0,"5'8""",135lbs.,"73""",Orthodox,"Mar15,1994",1.87,28%,3.2,53%,2.0,33%,71%,0.0,06-15-2023,08-01-2017,6.0,30.0,1.0
Shane Burgos,15,3,0.0,"5'11""",145lbs.,"75""",Orthodox,"Mar19,1991",7.4,52%,6.78,56%,0.43,44%,91%,0.4,06-15-2023,07-16-2022,18.0,33.0,0.8333333333333334
Boston Salmon,6,3,0.0,"5'9""",135lbs.,"69""",Southpaw,"Nov20,1990",4.13,37%,7.75,59%,0.0,0%,100%,0.0,06-15-2023,10-18-2019,9.0,34.0,0.6666666666666666
Besam Yousef,7,4,0.0,"5'11""",170lbs.,--,Orthodox,"Mar25,1985",3.14,53%,3.98,38%,1.33,66%,50%,0.0,06-15-2023,04-06-2013,11.0,39.0,0.6363636363636364
Charlie Brenneman,19,8,0.0,"5'10""",155lbs.,"70""",Orthodox,"Feb09,1981",1.52,56%,1.55,46%,4.23,42%,72%,0.0,06-15-2023,11-08-2014,27.0,43.0,0.7037037037037037
Naoki Matsushita,12,16,11.0,"5'6""",155lbs.,--,Orthodox,--,3.3,32%,2.2,63%,1.5,100%,0%,0.0,06-15-2023,08-27-2006,39.0,,0.3076923076923077
Josh Bumgarner,6,4,0.0,"6'1""",170lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,06-06-2009,10.0,,0.6
Dave Phillips,13,7,0.0,"6'0""",185lbs.,--,Orthodox,"Jan12,1980",0.0,0%,2.0,25%,0.0,0%,0%,10.0,06-15-2023,08-02-2007,20.0,44.0,0.65
Tim Williams,15,5,0.0,"6'2""",185lbs.,"76""",Orthodox,"Jul03,1986",3.07,38%,3.55,48%,1.81,40%,100%,0.0,06-15-2023,08-25-2018,20.0,38.0,0.75
Damir Mirenic,9,4,0.0,"6'0""",185lbs.,--,Orthodox,"Aug02,1974",0.84,50%,9.86,35%,0.0,0%,0%,0.0,06-15-2023,10-19-2007,13.0,50.0,0.6923076923076923
Andy Enz,10,4,0.0,"6'3""",185lbs.,"78""",Orthodox,"Aug15,1991",3.51,23%,5.32,57%,0.0,0%,58%,0.0,06-15-2023,01-31-2015,14.0,33.0,0.7142857142857143
John Dodson,22,12,0.0,"5'3""",135lbs.,"66""",Orthodox,"Sep26,1984",3.2,40%,3.58,61%,0.71,28%,82%,0.0,06-15-2023,08-15-2020,34.0,40.0,0.6470588235294118
Jason Riley,10,7,0.0,"6'6""",245lbs.,--,,"Sep22,1975",0.0,0%,9.68,33%,0.0,0%,50%,0.0,06-15-2023,03-05-2011,17.0,49.0,0.5882352941176471
Steve Hadsel,3,0,0.0,"5'8""",170lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,06-19-2009,3.0,,1.0
Brady Fink,2,3,0.0,"6'0""",183lbs.,--,Orthodox,--,1.69,41%,1.69,61%,3.63,25%,0%,3.6,06-15-2023,07-19-2004,5.0,,0.4
Scott Lighty,6,2,0.0,"6'2""",205lbs.,--,,"Oct15,1978",2.91,21%,4.24,49%,0.0,0%,0%,0.0,06-15-2023,04-01-2011,8.0,46.0,0.75
Edgar Cardenas,4,1,0.0,--,145lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,04-09-2011,5.0,,0.8
Jordan Johnson,10,0,0.0,"6'2""",205lbs.,"79""",Orthodox,"Nov18,1988",3.45,47%,2.64,53%,3.25,42%,100%,1.2,06-15-2023,09-15-2018,10.0,36.0,1.0
Grant Dawson,19,1,1.0,"5'10""",155lbs.,"72""",Switch,"Feb20,1994",3.12,51%,2.41,45%,3.8,34%,40%,1.6,06-15-2023,,21.0,30.0,0.9047619047619048
Erik Koch,16,6,0.0,"5'10""",170lbs.,"71""",Southpaw,"Oct04,1988",2.33,42%,2.82,47%,1.02,42%,81%,1.0,06-15-2023,07-27-2019,22.0,36.0,0.7272727272727273
Evangelista Santos,21,18,0.0,"5'10""",170lbs.,"76""",Orthodox,"Dec12,1977",3.94,36%,6.01,49%,0.78,100%,50%,0.4,06-15-2023,09-10-2011,39.0,46.0,0.5384615384615384
Cathal Pendred,17,4,1.0,"6'1""",170lbs.,"75""",Orthodox,"Sep02,1987",2.49,44%,3.01,55%,2.46,23%,83%,0.4,06-15-2023,10-24-2015,22.0,37.0,0.7727272727272727
Brian Schwartz,1,1,0.0,"6'3""",170lbs.,--,Orthodox,--,1.27,44%,0.87,45%,0.0,0%,50%,1.0,06-15-2023,11-21-2008,2.0,,0.5
Gigo Jara,6,9,0.0,"5'9""",145lbs.,--,,--,2.26,57%,2.71,51%,0.0,0%,66%,0.0,06-15-2023,08-17-2006,15.0,,0.4
Genki Sudo,15,4,2.0,"5'9""",155lbs.,--,Orthodox,"Mar08,1978",1.55,39%,2.23,33%,3.58,60%,50%,4.2,06-15-2023,04-02-2004,21.0,46.0,0.7142857142857143
Jan Blachowicz,29,9,1.0,"6'2""",205lbs.,"78""",Orthodox,"Feb24,1983",3.41,49%,2.81,54%,0.97,53%,68%,0.2,06-15-2023,,39.0,41.0,0.7435897435897436
Xavier Siller,5,5,0.0,"5'5""",125lbs.,--,,"Jun06,1994",1.02,36%,1.53,57%,3.83,100%,0%,0.0,06-15-2023,,10.0,30.0,0.5
Tae Hyun Bang,18,10,0.0,"5'9""",155lbs.,"71""",Switch,"Apr15,1983",2.72,38%,2.07,66%,0.49,33%,57%,0.5,06-15-2023,09-03-2016,28.0,41.0,0.6428571428571429
Ray Perales,13,22,0.0,"5'10""",170lbs.,--,Orthodox,--,0.18,25%,2.39,32%,0.0,0%,33%,0.0,06-15-2023,02-23-2008,35.0,,0.37142857142857144
Hashem Arkhagha,6,1,0.0,"6'2""",185lbs.,"75""",Orthodox,"Sep11,1989",1.84,44%,8.97,43%,0.0,0%,50%,0.0,06-15-2023,09-21-2021,7.0,35.0,0.8571428571428571
Joao Pierini,4,1,0.0,"6'1""",155lbs.,--,Switch,"Dec11,1971",0.76,14%,4.56,33%,0.0,0%,0%,0.0,06-15-2023,06-22-2002,5.0,52.0,0.8
Donavon Frelow,6,3,0.0,"5'7""",135lbs.,--,Orthodox,"Jan20,1985",2.4,27%,3.2,52%,1.0,100%,26%,0.0,06-15-2023,08-08-2017,9.0,39.0,0.6666666666666666
Cory Hendricks,3,1,0.0,"6'3""",205lbs.,--,,"May10,1988",3.13,39%,4.07,42%,0.0,0%,100%,0.0,06-15-2023,07-08-2016,4.0,36.0,0.75
Bill Algeo,17,7,0.0,"6'0""",145lbs.,"73""",Switch,"Jun09,1989",5.93,53%,4.32,46%,0.87,42%,55%,0.1,06-15-2023,04-15-2023,24.0,35.0,0.7083333333333334
Michal Martinek,7,1,0.0,"6'2""",230lbs.,--,Southpaw,"Apr19,1990",2.45,53%,4.29,51%,0.0,0%,0%,0.0,06-15-2023,07-30-2019,8.0,34.0,0.875
David Dvorak,20,6,0.0,"5'5""",125lbs.,"68""",Orthodox,"Jun05,1992",3.48,43%,3.29,59%,0.58,30%,70%,0.2,06-15-2023,06-10-2023,26.0,32.0,0.7692307692307693
Justin Salas,12,7,0.0,"5'8""",155lbs.,"70""",Southpaw,"Mar13,1982",3.42,43%,2.96,68%,2.43,20%,0%,0.0,06-15-2023,03-05-2016,19.0,42.0,0.631578947368421
Ricky Rainey,12,6,0.0,"6'1""",170lbs.,"77""",Switch,"Jun29,1983",2.55,48%,2.62,46%,0.95,18%,55%,0.0,06-15-2023,11-30-2018,18.0,41.0,0.6666666666666666
Brett Albee,3,2,0.0,--,225lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,04-09-2011,5.0,,0.6
Kazushi Sakuraba,26,17,0.0,"6'0""",185lbs.,--,Southpaw,"Jul14,1969",1.26,41%,2.03,51%,1.26,31%,48%,1.7,06-15-2023,09-24-2011,43.0,55.0,0.6046511627906976
Todd Brown,16,4,0.0,"5'11""",205lbs.,--,Orthodox,"Dec13,1976",2.15,45%,3.85,48%,0.0,0%,50%,0.0,06-15-2023,03-03-2011,20.0,47.0,0.8
Ailiya Muratbek,9,2,0.0,--,155lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,,11.0,,0.8181818181818182
Paul Taylor,11,6,0.0,"6'0""",155lbs.,"72""",Orthodox,"Dec15,1979",4.44,47%,4.47,55%,0.27,25%,56%,0.5,06-15-2023,02-05-2011,17.0,44.0,0.6470588235294118
Justin Jones,9,2,0.0,"5'11""",185lbs.,--,Orthodox,"Sep06,1987",1.7,36%,3.17,45%,1.0,15%,46%,0.5,06-15-2023,04-04-2015,11.0,37.0,0.8181818181818182
Rustam Khabilov,24,4,0.0,"5'8""",155lbs.,"73""",Orthodox,"Nov04,1986",1.98,34%,2.16,65%,3.95,41%,61%,0.1,06-15-2023,11-09-2019,28.0,38.0,0.8571428571428571
Vanessa Melo,11,8,0.0,"5'5""",135lbs.,"65""",Orthodox,"Mar27,1988",3.48,30%,6.13,59%,0.0,0%,71%,0.0,06-15-2023,01-16-2021,19.0,36.0,0.5789473684210527
Waylon Kennell,6,2,0.0,"6'0""",185lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,04-11-2009,8.0,,0.75
Frankie Saenz,13,7,0.0,"5'6""",135lbs.,"66""",Orthodox,"Aug12,1980",3.94,47%,3.5,52%,1.74,31%,61%,0.1,06-15-2023,08-01-2020,20.0,44.0,0.65
Jermaine Andre,14,4,0.0,"5'7""",200lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,07-05-2002,18.0,,0.7777777777777778
Dong Hyun Kim,22,4,0.0,"6'2""",170lbs.,"76""",Southpaw,"Nov17,1981",2.12,49%,1.89,58%,2.93,43%,71%,0.6,06-15-2023,06-17-2017,26.0,43.0,0.8461538461538461
Luciano Azevedo,17,9,1.0,"6'3""",161lbs.,--,Orthodox,"Jun25,1981",0.76,45%,1.97,27%,2.28,11%,0%,0.0,06-15-2023,08-27-2006,27.0,43.0,0.6296296296296297
Cleber Luciano,14,6,0.0,"5'6""",155lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,,20.0,,0.7
Moise Rimbon,23,11,3.0,"5'10""",205lbs.,--,Orthodox,"Apr20,1977",0.8,34%,1.0,71%,1.0,50%,37%,0.0,06-15-2023,11-01-2008,37.0,47.0,0.6216216216216216
Cyril Asker,9,4,0.0,"6'0""",247lbs.,"74""",Orthodox,"Dec24,1985",3.35,39%,5.82,35%,4.41,62%,100%,0.9,06-15-2023,02-10-2018,13.0,38.0,0.6923076923076923
Joe Taimanglo,23,7,1.0,"5'4""",135lbs.,--,,"Jun27,1984",4.18,42%,4.55,59%,5.45,40%,100%,1.4,06-15-2023,,31.0,40.0,0.7419354838709677
Jacob Noe,3,11,0.0,--,205lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,11-19-2010,14.0,,0.21428571428571427
Kris Moutinho,9,6,0.0,"5'7""",135lbs.,"68""",Southpaw,"Aug09,1992",4.86,32%,15.48,28%,0.0,0%,0%,0.0,06-15-2023,03-12-2022,15.0,32.0,0.6
Akira Kikuchi,16,4,0.0,"5'8""",155lbs.,--,Orthodox,"Jul23,1978",3.67,56%,0.4,14%,2.0,40%,100%,0.0,06-15-2023,02-17-2007,20.0,46.0,0.8
Kelly Faszholz,4,2,0.0,"5'8""",135lbs.,--,Orthodox,"Apr09,1985",4.01,48%,3.61,52%,0.0,0%,44%,0.0,06-15-2023,10-01-2016,6.0,39.0,0.6666666666666666
Shauna Bannon,5,0,0.0,--,115lbs.,--,,"Oct23,1993",0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,,5.0,31.0,1.0
Martin Bravo,11,3,0.0,"5'8""",145lbs.,"71""",Southpaw,"Sep21,1993",7.66,39%,5.72,51%,2.6,35%,85%,0.0,06-15-2023,09-21-2019,14.0,31.0,0.7857142857142857
Jorge Ortiz,18,9,0.0,"6'0""",185lbs.,--,Orthodox,--,3.53,58%,2.8,73%,0.0,0%,0%,0.0,06-15-2023,03-10-2006,27.0,,0.6666666666666666
Gabriel Checco,10,2,0.0,"6'1""",185lbs.,--,Switch,"Apr03,1986",0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,,12.0,38.0,0.8333333333333334
Leonardo Santos,18,7,1.0,"6'0""",155lbs.,"75""",Orthodox,"Feb05,1980",2.82,46%,3.4,54%,0.88,25%,86%,0.2,06-15-2023,08-20-2022,26.0,44.0,0.6923076923076923
Greg Soto,9,4,0.0,"5'11""",170lbs.,"73""",Orthodox,"Jun03,1986",3.21,63%,2.61,52%,1.49,27%,44%,1.0,06-15-2023,01-01-2011,13.0,38.0,0.6923076923076923
Jimmie Rivera,23,5,0.0,"5'4""",135lbs.,"68""",Orthodox,"Jun29,1989",4.03,40%,3.9,60%,0.88,27%,92%,0.1,06-15-2023,02-27-2021,28.0,35.0,0.8214285714285714
Tristan Arenal,7,4,0.0,--,155lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,04-01-2011,11.0,,0.6363636363636364
Tim McKenzie,14,9,0.0,"6'0""",185lbs.,"74""",Orthodox,"Jul21,1982",1.37,54%,2.96,44%,0.0,0%,28%,2.1,06-15-2023,04-01-2009,23.0,42.0,0.6086956521739131
Dylan Lockard,6,2,0.0,"5'9""",145lbs.,"72""",Orthodox,"May19,1992",1.31,53%,3.31,52%,2.31,40%,28%,1.2,06-15-2023,08-27-2019,8.0,32.0,0.75
Greg Wilson,2,3,0.0,--,155lbs.,--,,"Oct02,1988",0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,05-15-2010,5.0,36.0,0.4
Mark Weir,21,18,1.0,"6'2""",185lbs.,--,Southpaw,"Sep19,1967",1.54,56%,2.5,38%,0.8,50%,25%,2.4,06-15-2023,04-02-2006,40.0,57.0,0.525
Luan Chagas,15,3,1.0,"6'0""",170lbs.,"75""",Orthodox,"Jun17,1993",4.16,47%,3.19,62%,0.32,12%,85%,0.3,06-15-2023,04-21-2018,19.0,31.0,0.7894736842105263
KB Bhullar,8,2,0.0,"6'4""",185lbs.,"78""",Switch,"Oct12,1991",4.31,49%,5.39,45%,0.0,0%,0%,0.0,06-15-2023,05-01-2021,10.0,33.0,0.8
Macy Chiasson,9,3,0.0,"5'11""",135lbs.,"72""",Orthodox,"Jul27,1991",3.64,44%,2.61,46%,2.17,34%,64%,0.3,06-15-2023,,12.0,33.0,0.75
Darren Till,18,5,1.0,"6'0""",185lbs.,"74""",Southpaw,"Dec24,1992",2.3,46%,3.31,56%,0.55,46%,69%,0.0,06-15-2023,12-10-2022,24.0,31.0,0.75
Geraldo de Freitas,12,6,0.0,"5'7""",135lbs.,"72""",Orthodox,"Sep30,1991",3.67,52%,2.62,50%,3.0,45%,59%,0.0,06-15-2023,11-14-2020,18.0,33.0,0.6666666666666666
Nicolas Dalby,21,4,0.0,"5'11""",170lbs.,"74""",Orthodox,"Nov16,1984",3.74,41%,3.35,53%,1.09,30%,65%,0.1,06-15-2023,,25.0,40.0,0.84
Kuniyoshi Hironaka,23,9,0.0,"5'10""",168lbs.,"70""",Orthodox,"Jun17,1976",1.98,40%,3.01,54%,1.91,30%,25%,0.6,06-15-2023,03-22-2010,32.0,48.0,0.71875
Kyle Bolt,8,4,0.0,"6'2""",185lbs.,--,,--,7.27,52%,7.27,45%,0.0,0%,0%,0.0,06-15-2023,,12.0,,0.6666666666666666
Hugo Sandoval,2,3,0.0,--,135lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,06-16-2010,5.0,,0.4
Hussain Rasouli,2,3,0.0,"5'6""",135lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,09-13-2008,5.0,,0.4
Karine Silva,16,4,0.0,"5'5""",125lbs.,"67""",Orthodox,"Dec02,1993",2.39,26%,3.43,35%,2.24,50%,0%,4.5,06-15-2023,06-03-2023,20.0,31.0,0.8
Roberta Rovel,4,1,0.0,"5'8""",145lbs.,--,,--,0.87,46%,3.0,26%,0.0,0%,100%,0.0,06-15-2023,,5.0,,0.8
Roman Kopylov,10,2,0.0,"6'0""",185lbs.,"75""",Southpaw,"May04,1991",4.54,50%,3.96,60%,0.62,50%,89%,0.0,06-15-2023,,12.0,33.0,0.8333333333333334
Brian Sleeman,9,9,1.0,"5'8""",185lbs.,--,,--,4.0,48%,1.85,70%,9.23,100%,100%,0.0,06-15-2023,10-17-2003,19.0,,0.47368421052631576
Antonio Banuelos,20,11,1.0,"5'5""",135lbs.,"63""",Orthodox,"Sep23,1979",2.69,33%,3.15,58%,1.62,62%,86%,0.4,06-15-2023,12-31-2011,32.0,45.0,0.625
Masanori Tonooka,1,2,0.0,"5'8""",185lbs.,--,Orthodox,--,0.16,5%,1.09,36%,0.0,0%,0%,0.0,06-15-2023,09-23-2008,3.0,,0.3333333333333333
Victoria Leonardo,9,6,0.0,"5'5""",125lbs.,"64""",Orthodox,"Feb16,1990",3.27,39%,4.7,46%,1.6,27%,71%,0.0,06-15-2023,05-20-2023,15.0,34.0,0.6
Josh Samman,13,4,0.0,"6'3""",185lbs.,"79""",Orthodox,"Mar14,1988",2.08,52%,2.47,34%,1.09,33%,33%,0.4,06-15-2023,07-13-2016,17.0,36.0,0.7647058823529411
Won Sik Park,11,7,0.0,"5'11""",154lbs.,--,Orthodox,--,2.6,43%,2.2,47%,0.0,0%,0%,0.0,06-15-2023,10-25-2009,18.0,,0.6111111111111112
Jong Won Kim,0,1,0.0,"5'7""",139lbs.,--,Orthodox,--,0.84,15%,3.28,63%,2.81,100%,0%,0.0,06-15-2023,03-08-2009,1.0,,0.0
Goiti Yamauchi,21,3,0.0,"5'10""",145lbs.,--,,"Jan05,1993",1.66,54%,1.01,66%,0.0,0%,0%,4.3,06-15-2023,,24.0,31.0,0.875
Chris Brown,10,1,0.0,--,170lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,12-17-2011,11.0,,0.9090909090909091
James Thompson,20,16,0.0,"6'5""",265lbs.,--,Orthodox,"Dec16,1978",5.13,52%,3.19,41%,3.14,36%,53%,1.3,06-15-2023,09-25-2010,36.0,45.0,0.5555555555555556
Mike Aina,14,6,0.0,"5'9""",155lbs.,--,Orthodox,--,2.87,33%,6.33,59%,0.0,0%,71%,0.0,06-15-2023,05-15-2009,20.0,,0.7
Mickey Gall,7,5,0.0,"6'2""",170lbs.,"74""",Switch,"Jan22,1992",2.94,46%,4.25,49%,1.21,30%,36%,1.9,06-15-2023,04-09-2022,12.0,32.0,0.5833333333333334
Jonatas Novaes,13,5,0.0,"5'11""",170lbs.,--,,"Mar02,1981",0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,11-07-2009,18.0,43.0,0.7222222222222222
Justin Gaethje,24,4,0.0,"5'11""",155lbs.,"70""",Orthodox,"Nov14,1988",7.38,60%,7.66,53%,0.13,25%,75%,0.0,06-15-2023,,28.0,36.0,0.8571428571428571
Ryo Kawamura,18,9,4.0,"5'11""",205lbs.,--,Orthodox,"Jun29,1981",0.6,16%,3.93,39%,0.0,0%,6%,0.0,06-15-2023,03-20-2009,31.0,43.0,0.5806451612903226
Fernie Garcia,10,3,0.0,"5'7""",135lbs.,"67""",Orthodox,"Apr12,1992",2.18,39%,2.83,54%,0.47,50%,61%,0.5,06-15-2023,11-19-2022,13.0,32.0,0.7692307692307693
Nolan Ticman,4,3,0.0,"5'6""",125lbs.,--,Orthodox,"May17,1988",2.57,47%,2.53,67%,0.0,0%,60%,0.0,06-15-2023,05-16-2015,7.0,36.0,0.5714285714285714
Maria Rios,2,3,0.0,"5'5""",125lbs.,--,,"May31,1983",2.93,34%,4.13,56%,2.0,50%,100%,0.0,06-15-2023,,5.0,41.0,0.4
Blood Diamond,3,2,0.0,"5'11""",170lbs.,"76""",Switch,"Jul10,1988",3.26,63%,2.04,43%,0.0,0%,69%,0.0,06-15-2023,07-30-2022,5.0,36.0,0.6
Leon Shahbazyan,7,2,0.0,"6'4""",170lbs.,"74""",Orthodox,"Nov18,1995",6.33,52%,8.18,32%,1.46,50%,0%,0.0,06-15-2023,08-20-2019,9.0,29.0,0.7777777777777778
Marlon Sims,3,4,0.0,--,170lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,03-29-2008,7.0,,0.42857142857142855
Cindy Dandois,8,3,0.0,"5'7""",135lbs.,--,Orthodox,"Oct26,1984",3.13,32%,3.4,58%,5.0,55%,0%,0.0,06-15-2023,04-22-2017,11.0,40.0,0.7272727272727273
Shannon Gugerty,15,7,0.0,"5'10""",155lbs.,"71""",Orthodox,"Dec30,1981",1.25,39%,1.88,58%,2.13,27%,50%,3.4,06-15-2023,03-21-2010,22.0,42.0,0.6818181818181818
Bob Sapp,11,20,0.0,"6'5""",350lbs.,--,Orthodox,"Sep22,1974",3.19,55%,1.88,49%,0.58,100%,72%,0.0,06-15-2023,10-06-2009,31.0,50.0,0.3548387096774194
Kenichi Yamamoto,5,12,2.0,"6'0""",170lbs.,--,Orthodox,"Jul11,1976",0.3,46%,1.93,38%,0.0,0%,10%,0.3,06-15-2023,07-19-2004,19.0,48.0,0.2631578947368421
Noad Lahat,11,2,0.0,"5'9""",145lbs.,"69""",Orthodox,"Jun08,1984",2.79,46%,1.47,63%,2.37,26%,16%,2.4,06-15-2023,02-06-2016,13.0,40.0,0.8461538461538461
Sako Chivitchian,8,1,0.0,"5'11""",155lbs.,--,,"Mar11,1984",2.4,27%,4.8,46%,0.0,0%,100%,0.0,06-15-2023,12-04-2010,9.0,40.0,0.8888888888888888
Michihiro Omigawa,17,14,1.0,"5'6""",145lbs.,"68""",Orthodox,"Dec19,1975",2.01,39%,3.06,64%,1.19,36%,49%,1.5,06-15-2023,12-31-2012,32.0,48.0,0.53125
Richie Santiago,7,2,0.0,"5'7""",135lbs.,"67""",Southpaw,"Oct10,1992",3.87,49%,4.87,42%,0.0,0%,25%,0.0,06-15-2023,06-25-2019,9.0,32.0,0.7777777777777778
Patrick Cote,23,11,0.0,"5'11""",170lbs.,"75""",Orthodox,"Feb29,1980",2.81,48%,3.21,48%,0.68,20%,43%,0.2,06-15-2023,04-08-2017,34.0,44.0,0.6764705882352942
Justin Scoggins,11,5,0.0,"5'7""",125lbs.,"66""",Southpaw,"May02,1992",3.56,51%,2.16,55%,3.42,63%,82%,0.5,06-15-2023,07-14-2018,16.0,32.0,0.6875
Dave Beneteau,6,5,1.0,"6'2""",250lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,10-17-1997,12.0,,0.5
Preston Parsons,10,4,0.0,"5'11""",170lbs.,"71""",Orthodox,"Jul15,1995",4.14,56%,3.76,49%,3.11,33%,100%,3.5,06-15-2023,03-25-2023,14.0,29.0,0.7142857142857143
Mike Swick,15,6,0.0,"6'1""",170lbs.,"77""",Orthodox,"Jun19,1979",2.36,37%,2.29,54%,1.06,50%,61%,0.6,06-15-2023,07-11-2015,21.0,45.0,0.7142857142857143
Yui Chul Nam,18,8,1.0,"5'9""",145lbs.,--,Orthodox,"Jul16,1981",3.53,51%,2.0,48%,1.33,16%,57%,0.3,06-15-2023,11-28-2015,27.0,43.0,0.6666666666666666
