name,wins,losses,draws,height,weight,reach,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,last_update,last_match,total_fights,age,win_percentage
John Cholish,8,3,0.0,"5'11""",155lbs.,"74""",Orthodox,"Dec17,1983",2.65,49%,2.29,73%,1.82,31%,78%,0.4,06-15-2023,05-18-2013,11.0,40.0,0.7272727272727273
Jose Canseco,0,1,0.0,"6'4""",240lbs.,--,Orthodox,"Jul02,1964",0.78,10%,4.68,62%,0.0,0%,0%,0.0,06-15-2023,05-26-2009,1.0,60.0,0.0
Yusaku Nakamura,14,4,1.0,"5'5""",145lbs.,--,,"Jun21,1986",1.72,45%,3.67,55%,0.0,0%,83%,0.0,06-15-2023,05-29-2011,19.0,38.0,0.7368421052631579
Walt Harris,13,10,0.0,"6'5""",250lbs.,"77""",Southpaw,"Jun10,1983",3.05,39%,3.33,54%,0.29,28%,70%,0.1,06-15-2023,06-05-2021,23.0,41.0,0.5652173913043478
Nate Schroeder,11,10,0.0,"6'1""",230lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,06-09-2000,21.0,,0.5238095238095238
Minoru Toyonaga,2,5,0.0,"5'11""",195lbs.,--,Southpaw,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,04-29-1999,7.0,,0.2857142857142857
Arnold Allen,19,2,0.0,"5'8""",145lbs.,"70""",Southpaw,"Jan22,1994",3.34,40%,2.86,61%,1.12,50%,76%,0.3,06-15-2023,04-15-2023,21.0,30.0,0.9047619047619048
Zoila Frausto,13,5,0.0,"5'4""",135lbs.,--,Orthodox,--,0.77,31%,1.64,53%,0.0,0%,57%,0.0,06-15-2023,03-26-2010,18.0,,0.7222222222222222
Lucrezia Ria,8,2,0.0,"5'6""",125lbs.,--,Orthodox,"Jun24,1992",4.07,46%,4.4,45%,1.0,33%,0%,0.0,06-15-2023,08-06-2019,10.0,32.0,0.8
Jack Marshman,23,10,0.0,"6'0""",185lbs.,"73""",Orthodox,"Dec19,1989",2.74,25%,4.19,56%,0.0,0%,20%,0.0,06-15-2023,10-31-2020,33.0,34.0,0.696969696969697
Marcus Aurelio,22,10,0.0,"5'10""",155lbs.,"74""",Orthodox,"Aug18,1973",1.42,33%,2.27,59%,1.69,27%,27%,1.3,06-15-2023,09-25-2010,32.0,51.0,0.6875
Dashawn Boatwright,3,1,0.0,"6'0""",205lbs.,--,Orthodox,"Feb29,1988",0.0,0%,52.5,12%,0.0,0%,0%,0.0,06-15-2023,06-12-2018,4.0,36.0,0.75
Collin Anglin,8,3,0.0,"5'9""",145lbs.,"71""",Orthodox,"Feb20,1993",4.59,48%,5.54,51%,2.28,66%,100%,0.0,06-15-2023,11-13-2021,11.0,31.0,0.7272727272727273
Casey O'Neill,9,1,0.0,"5'6""",125lbs.,"69""",Orthodox,"Oct07,1997",8.77,55%,5.9,58%,1.96,42%,71%,0.7,06-15-2023,03-18-2023,10.0,27.0,0.9
Jesse Finney,5,1,0.0,"6'0""",170lbs.,--,,"Jul11,1974",0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,05-15-2010,6.0,50.0,0.8333333333333334
Matt Horwich,30,25,1.0,"6'1""",185lbs.,--,Orthodox,"Oct02,1978",1.11,62%,2.16,38%,0.33,9%,28%,2.7,06-15-2023,04-01-2009,56.0,46.0,0.5357142857142857
Oluwale Bamgbose,6,4,0.0,"5'11""",185lbs.,"78""",Switch,"Aug04,1987",2.45,48%,2.7,55%,0.94,33%,37%,0.0,06-15-2023,12-16-2017,10.0,37.0,0.6
Nate Mohr,9,7,0.0,"5'9""",155lbs.,"72""",Orthodox,"Mar03,1983",3.79,41%,2.5,74%,0.45,50%,71%,0.0,06-15-2023,01-17-2009,16.0,41.0,0.5625
Tanner Boser,20,10,1.0,"6'2""",205lbs.,"75""",Orthodox,"Aug02,1991",4.17,51%,2.47,60%,0.0,0%,61%,0.0,06-15-2023,04-15-2023,31.0,33.0,0.6451612903225806
Jorge Gurgel,14,10,0.0,"5'7""",155lbs.,"69""",Orthodox,"Jan25,1977",3.37,32%,3.62,62%,0.81,23%,60%,0.5,06-15-2023,01-12-2013,24.0,47.0,0.5833333333333334
Joao Paulo Faria,1,1,0.0,"5'9""",155lbs.,--,,--,6.69,64%,2.09,85%,1.25,50%,0%,1.2,06-15-2023,,2.0,,0.5
Victor Jones,1,3,0.0,--,145lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,,4.0,,0.25
Gerald Strebendt,9,7,0.0,"5'9""",155lbs.,--,Orthodox,"Mar01,1979",0.0,0%,4.0,38%,0.0,0%,0%,16.4,06-15-2023,09-26-2003,16.0,45.0,0.5625
John Doyle,11,22,0.0,"5'11""",205lbs.,--,Orthodox,"Nov21,1976",3.5,44%,10.51,27%,0.0,0%,0%,0.0,06-15-2023,02-16-2008,33.0,48.0,0.3333333333333333
Chase Gormley,14,6,0.0,"6'3""",265lbs.,--,Orthodox,--,3.6,42%,6.03,44%,3.12,42%,0%,1.0,06-15-2023,03-21-2010,20.0,,0.7
Rob Font,20,6,0.0,"5'8""",135lbs.,"71""",Orthodox,"Jun25,1987",6.46,46%,4.03,56%,1.01,36%,55%,0.4,06-15-2023,04-08-2023,26.0,37.0,0.7692307692307693
Houston Alexander,17,15,0.0,"6'0""",205lbs.,"72""",Orthodox,"Mar22,1972",3.06,54%,3.2,52%,1.19,57%,33%,0.0,06-15-2023,12-05-2009,32.0,52.0,0.53125
Rob Kimmons,25,9,0.0,"5'10""",185lbs.,"73""",Orthodox,"Jan30,1981",1.86,48%,4.79,38%,2.08,46%,25%,2.4,06-15-2023,03-03-2011,34.0,43.0,0.7352941176470589
Constantinos Philippou,13,5,0.0,"5'11""",185lbs.,"73""",Orthodox,"Nov29,1979",2.19,35%,2.73,54%,0.4,42%,65%,0.3,06-15-2023,05-16-2015,18.0,45.0,0.7222222222222222
Li Kaiwen,11,5,0.0,"5'9""",145lbs.,"72""",Southpaw,"Oct16,1995",0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,05-27-2023,16.0,29.0,0.6875
Henry Cejudo,16,3,0.0,"5'4""",135lbs.,"64""",Orthodox,"Feb09,1987",3.93,47%,3.15,60%,2.07,34%,83%,0.2,06-15-2023,05-06-2023,19.0,37.0,0.8421052631578947
Jon Olav Einemo,6,3,0.0,"6'6""",253lbs.,--,Orthodox,"Dec10,1975",2.15,52%,3.05,52%,1.73,55%,43%,0.0,06-15-2023,01-28-2012,9.0,48.0,0.6666666666666666
Marvin Eastman,18,15,1.0,"5'9""",185lbs.,"73""",Orthodox,"Jun08,1971",2.21,35%,3.92,42%,1.38,33%,81%,0.0,06-15-2023,06-21-2008,34.0,53.0,0.5294117647058824
Dale Hartt,6,3,0.0,"5'10""",155lbs.,"69""",Orthodox,"Apr04,1979",1.14,35%,1.55,66%,1.22,100%,25%,2.5,06-15-2023,06-13-2009,9.0,45.0,0.6666666666666666
Chris Price,19,4,0.0,"6'2""",185lbs.,--,Southpaw,"Nov09,1982",1.44,66%,2.59,48%,0.0,0%,33%,2.2,06-15-2023,01-25-2007,23.0,42.0,0.8260869565217391
Jason Ireland,19,9,1.0,"5'9""",161lbs.,--,Southpaw,"Dec30,1979",1.2,25%,2.07,51%,3.59,75%,0%,1.2,06-15-2023,02-24-2007,29.0,44.0,0.6551724137931034
Shin Haraguchi,6,0,0.0,"5'6""",155lbs.,"68""",Switch,"Nov27,1998",0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,05-28-2023,6.0,26.0,1.0
Kailin Curran,4,5,0.0,"5'4""",115lbs.,"65""",Orthodox,"Apr11,1991",3.89,43%,4.75,53%,2.0,57%,61%,0.6,06-15-2023,11-25-2017,9.0,33.0,0.4444444444444444
Everett Cummings,12,0,0.0,--,205lbs.,--,,--,0.43,60%,4.34,45%,0.0,0%,0%,2.2,06-15-2023,,12.0,,1.0
Andrea Lee,13,7,0.0,"5'6""",125lbs.,"69""",Orthodox,"Feb11,1989",5.13,48%,3.59,64%,2.04,57%,54%,0.6,06-15-2023,03-25-2023,20.0,35.0,0.65
Ricardo Arona,14,5,0.0,"5'11""",205lbs.,--,Orthodox,"Jul17,1978",1.66,48%,1.15,57%,2.41,48%,58%,1.2,06-15-2023,04-08-2007,19.0,46.0,0.7368421052631579
Fiona Muxlow,6,3,0.0,"5'4""",145lbs.,--,,"May13,1977",1.44,27%,5.45,34%,0.0,0%,0%,0.0,06-15-2023,12-31-2012,9.0,47.0,0.6666666666666666
Luiz Azeredo,15,10,0.0,"5'9""",154lbs.,--,Orthodox,"Jun10,1976",2.16,39%,2.76,57%,1.07,50%,45%,0.3,06-15-2023,12-31-2007,25.0,48.0,0.6
Mike Jackson,1,2,0.0,"6'2""",170lbs.,"74""",Orthodox,"Mar22,1985",4.49,57%,3.73,62%,0.71,33%,88%,0.0,06-15-2023,10-15-2022,3.0,39.0,0.3333333333333333
Cain Carrizosa,10,3,0.0,"5'8""",155lbs.,--,Orthodox,"Jul22,1986",2.72,42%,5.8,51%,0.0,0%,14%,0.0,06-15-2023,03-21-2015,13.0,38.0,0.7692307692307693
Devin Powell,9,4,0.0,"6'0""",155lbs.,"73""",Orthodox,"Mar01,1988",2.88,41%,3.67,51%,0.0,0%,0%,0.6,06-15-2023,11-17-2018,13.0,36.0,0.6923076923076923
Shara Magomedov,11,0,0.0,"6'2""",170lbs.,--,,"May16,1994",0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,,11.0,30.0,1.0
Scott Askham,14,4,0.0,"6'3""",185lbs.,"75""",Southpaw,"May20,1988",3.03,46%,3.52,52%,0.44,18%,65%,0.7,06-15-2023,03-18-2017,18.0,36.0,0.7777777777777778
Maurice Greene,9,7,0.0,"6'7""",258lbs.,"80""",Orthodox,"Jul05,1986",3.28,45%,3.61,45%,0.0,0%,27%,0.4,06-15-2023,05-08-2021,16.0,38.0,0.5625
Sergei Kharitonov,26,6,0.0,"6'0""",245lbs.,--,Orthodox,"Aug18,1980",3.9,44%,3.03,54%,1.16,53%,70%,1.0,06-15-2023,09-10-2011,32.0,44.0,0.8125
Justin Pennington,3,3,0.0,"5'4""",--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,04-17-2010,6.0,,0.5
Irwin Rivera,10,6,0.0,"5'6""",135lbs.,"67""",Southpaw,"Feb14,1989",3.36,44%,5.07,57%,1.0,16%,70%,0.0,06-15-2023,09-19-2020,16.0,35.0,0.625
Takashi Sugiura,1,3,0.0,"5'11""",225lbs.,--,Southpaw,"May31,1970",1.37,40%,2.08,53%,1.33,66%,0%,0.0,06-15-2023,07-19-2004,4.0,54.0,0.25
Jonathan Contrestano,6,0,0.0,--,155lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,,6.0,,1.0
Travis Galbraith,18,7,0.0,"6'0""",170lbs.,--,Orthodox,"May18,1981",2.21,40%,3.45,48%,1.33,25%,0%,1.3,06-15-2023,07-26-2008,25.0,43.0,0.72
Junior Barata,9,3,1.0,"5'10""",170lbs.,--,Orthodox,"Jan25,1982",4.03,33%,8.46,34%,0.0,0%,0%,0.0,06-15-2023,04-18-2009,13.0,42.0,0.6923076923076923
Ailin Perez,7,2,0.0,"5'5""",145lbs.,"66""",Switch,"Oct05,1994",1.62,47%,1.52,31%,1.52,33%,71%,0.0,06-15-2023,09-03-2022,9.0,30.0,0.7777777777777778
Branden Lee Hinkle,17,11,0.0,"6'3""",235lbs.,--,Orthodox,"Jul29,1973",2.61,69%,3.91,26%,4.34,57%,66%,4.3,06-15-2023,06-28-2006,28.0,51.0,0.6071428571428571
Ed Herman,27,16,0.0,"6'1""",205lbs.,"77""",Orthodox,"Oct02,1980",3.31,48%,3.71,42%,1.96,47%,59%,1.0,06-15-2023,04-15-2023,43.0,44.0,0.627906976744186
Dariya Zheleznykova,8,1,0.0,--,135lbs.,--,,"Jan23,1996",0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,,9.0,28.0,0.8888888888888888
Charles Oliveira,34,9,0.0,"5'10""",155lbs.,"74""",Orthodox,"Oct17,1989",3.54,53%,3.19,51%,2.32,40%,55%,2.7,06-15-2023,06-10-2023,43.0,35.0,0.7906976744186046
Milana Dudieva,11,6,0.0,"5'3""",135lbs.,--,Orthodox,"Aug04,1989",0.87,31%,3.43,58%,2.34,45%,0%,0.0,06-15-2023,11-19-2016,17.0,35.0,0.6470588235294118
Tarec Saffiedine,16,7,0.0,"5'10""",170lbs.,"70""",Switch,"Sep06,1986",4.05,47%,3.06,62%,0.52,36%,84%,0.1,06-15-2023,06-17-2017,23.0,38.0,0.6956521739130435
Joey Gomez,6,2,0.0,"5'10""",135lbs.,"73""",Orthodox,"Jul21,1986",2.44,28%,4.46,55%,0.62,100%,50%,0.0,06-15-2023,09-17-2016,8.0,38.0,0.75
CJ Vergara,11,4,1.0,"5'6""",125lbs.,"68""",Orthodox,"Jun18,1991",5.63,56%,4.75,53%,0.0,0%,72%,0.3,06-15-2023,,16.0,33.0,0.6875
Cesar Gracie,0,1,0.0,"5'10""",181lbs.,--,Orthodox,--,0.0,0%,17.14,50%,0.0,0%,0%,0.0,06-15-2023,03-10-2006,1.0,,0.0
Neal Ewing,6,0,0.0,--,185lbs.,--,,"Sep30,1985",2.27,60%,1.93,48%,5.0,62%,0%,0.0,06-15-2023,,6.0,39.0,1.0
Paul Varelans,9,9,0.0,"6'8""",300lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,06-15-2023,12-07-1996,18.0,,0.5
Rogerio Bontorin,16,4,0.0,"5'5""",125lbs.,"67""",Orthodox,"Apr25,1992",2.63,52%,3.27,50%,2.9,60%,51%,1.0,06-15-2023,01-15-2022,20.0,32.0,0.8
Jon Jones,27,1,0.0,"6'4""",205lbs.,"84""",Orthodox,"Jul19,1987",4.29,57%,2.22,64%,1.93,45%,95%,0.5,06-15-2023,03-04-2023,28.0,37.0,0.9642857142857143
Imani Lee,2,4,0.0,--,--,--,Orthodox,--,0.0,0%,0.94,33%,0.0,0%,0%,0.0,06-15-2023,05-29-2010,6.0,,0.3333333333333333
Jarno Errens,13,4,1.0,"5'11""",145lbs.,"73""",Orthodox,"Nov17,1994",1.33,37%,2.13,54%,0.0,0%,40%,1.0,06-15-2023,09-03-2022,18.0,30.0,0.7222222222222222
